strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
Round-Number,DIS,2022-05-18,long,2022-05-18T13:16:00,2022-05-18T13:45:00,105.14,104.9,104.9,110.0,180,1000.0,-43.19999999999908,-0.04319999999999908,stop,True
Round-Number,AAPL,2022-05-18,long,2022-05-18T14:55:00,2022-05-18T15:55:00,140.24,140.65,139.9,145.0,2941,1000.0,1205.80999999999,1.2058099999999898,session_close,True
Round-Number,MU,2022-05-19,long,2022-05-19T10:00:00,2022-05-19T12:43:00,70.18,69.9,69.9,75.0,770,1000.0,-215.60000000000088,-0.21560000000000087,stop,True
Round-Number,AAPL,2022-05-20,short,2022-05-20T09:58:00,2022-05-20T09:59:00,139.89,140.1,140.1,135.0,2386,1000.0,-501.060000000019,-0.5010600000000189,stop,False
Round-Number,AMD,2022-05-20,short,2022-05-20T10:11:00,2022-05-20T10:12:00,94.81,95.1,95.1,90.0,2500,1000.0,-724.9999999999801,-0.7249999999999801,stop,False
Round-Number,DIS,2022-05-20,long,2022-05-20T13:21:00,2022-05-20T15:55:00,100.23,102.25,99.9,105.0,395,1000.0,797.8999999999984,0.7978999999999984,session_close,False
Round-Number,AAPL,2022-05-23,long,2022-05-23T09:58:00,2022-05-23T09:59:00,140.12,139.9,139.9,145.0,3708,1000.0,-815.7599999999958,-0.8157599999999958,stop,False
Round-Number,ORCL,2022-05-23,long,2022-05-23T11:36:00,2022-05-23T13:01:00,70.14,69.9,69.9,75.0,182,1000.0,-43.67999999999907,-0.04367999999999907,stop,False
Round-Number,DIS,2022-05-23,short,2022-05-23T12:41:00,2022-05-23T13:48:00,104.9,105.1,105.1,100.0,338,1000.0,-67.59999999999616,-0.06759999999999616,stop,True
Round-Number,AMD,2022-05-24,long,2022-05-24T10:01:00,2022-05-24T10:02:00,90.08,89.9,89.9,95.0,4570,1000.0,-822.5999999999663,-0.8225999999999662,stop,True
